MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:107785	Mesp1	mesoderm posterior 1	7		negative regulation of endodermal cell fate specification			IDA		J:159135 	
MGI:1351322	Mixl1	Mix1 homeobox-like 1 (Xenopus laevis)	1		endoderm development	results in the development of gut		IMP	MGI:2387828 	J:77443 	
MGI:1351322	Mixl1	Mix1 homeobox-like 1 (Xenopus laevis)	1		endoderm formation			IBA	PTN000676189 	J:265628 	
MGI:1351322	Mixl1	Mix1 homeobox-like 1 (Xenopus laevis)	1		endoderm formation	results in the formation of definitive endoderm,has the participant endodermal cell		IMP	MGI:2387829 	J:117059 	
MGI:1351322	Mixl1	Mix1 homeobox-like 1 (Xenopus laevis)	1		endodermal cell differentiation			IDA		J:190085 	
MGI:1919200	Nanog	Nanog homeobox	6		endodermal cell fate specification			ISO	Q9H9S0 	J:168146 	
MGI:1919200	Nanog	Nanog homeobox	6		negative regulation of endodermal cell fate specification			TAS		J:114820 	
MGI:1355333	Nckap1	NCK-associated protein 1	2		endoderm development	results in the development of embryo endoderm		IMP	MGI:3578145 	J:119028 	
MGI:108067	Nkx2-1	NK2 homeobox 1	12		endoderm development			IMP	MGI:1857494 	J:30559 J:54641 	
MGI:97350	Nkx2-5	NK2 homeobox 5	17		endoderm development			TAS		J:48404 	
MGI:97359	Nodal	nodal	10		endoderm development			IMP	MGI:2158732 	J:73506 	
MGI:97359	Nodal	nodal	10		endodermal cell differentiation			ISO	Q96S42 	J:164563 	
MGI:97359	Nodal	nodal	10		mesendoderm development			IMP	MGI:2158732 	J:73506 	
MGI:97359	Nodal	nodal	10		mesendoderm development			IMP		J:85863 	
MGI:97359	Nodal	nodal	10		mesendoderm development			ISO	Q96S42 	J:164563 	
MGI:104327	Nog	noggin	11		endoderm development	happens in extraembryonic endoderm		IDA		J:228122 	
MGI:104327	Nog	noggin	11		endoderm formation			IDA		J:155850 	
MGI:97363	Notch1	notch 1	2		endoderm development			IMP	MGI:2684314 	J:86975 	
MGI:1196423	Onecut1	one cut domain, family member 1	9		endoderm development	results in the development of pancreas		IMP	MGI:2179340 	J:62595 	
MGI:97451	Otx2	orthodenticle homeobox 2	14		endoderm development	results in the development of extraembryonic visceral endoderm		IGI	MGI:109448 	J:70278 	
MGI:97451	Otx2	orthodenticle homeobox 2	14		mesendoderm development			IMP	MGI:2656539 MGI:5698524 	J:226614 	
MGI:1923988	Paf1	Paf1, RNA polymerase II complex component	7		endodermal cell fate commitment			IMP		J:149841 	
MGI:97493	Pax9	paired box 9	12		endoderm development			IMP	MGI:1857887 	J:76015 	
MGI:2145154	Pelo	pelota mRNA surveillance and ribosome rescue factor	13		endoderm development	happens in extraembryonic endoderm		IDA		J:228122 	
MGI:2145154	Pelo	pelota mRNA surveillance and ribosome rescue factor	13		endoderm development	happens in extraembryonic endoderm		IMP	MGI:3764519 MGI:5705245 	J:228122 	
MGI:101893	Pou5f1	POU domain, class 5, transcription factor 1	17		endodermal cell fate commitment	results in a cell's commitment to endodermal cell		IDA		J:61492 	
MGI:101893	Pou5f1	POU domain, class 5, transcription factor 1	17		endodermal cell fate specification			ISO	Q01860 	J:168146 	
MGI:97800	Pthlh	parathyroid hormone-like peptide	6		endoderm development			IDA		J:51778 	
MGI:1309480	Rtf1	RTF1, Paf1/RNA polymerase II complex component	2		endodermal cell fate commitment			IMP		J:149841 	
MGI:1918177	Setd2	SET domain containing 2	9		endodermal cell differentiation			IMP		J:243534 	
MGI:108051	Smad2	SMAD family member 2	18		endoderm development			IGI	MGI:1201674 	J:106308 	
MGI:108051	Smad2	SMAD family member 2	18		endoderm formation			IMP		J:176969 	
MGI:1201674	Smad3	SMAD family member 3	9		endoderm development			IGI	MGI:108051 	J:106308 	
MGI:894293	Smad4	SMAD family member 4	18		endoderm development			IMP	MGI:1858049 	J:45399 	
MGI:894293	Smad4	SMAD family member 4	18		endoderm development	results in the development of definitive endoderm		IMP	MGI:2656539 MGI:5698524 	J:226614 	
MGI:894293	Smad4	SMAD family member 4	18		mesendoderm development			IMP	MGI:2656539 MGI:5698524 	J:226614 	
MGI:98364	Sox2	SRY (sex determining region Y)-box 2	3		endodermal cell fate specification			ISO	P48431 	J:168146 	
MGI:98369	Sox7	SRY (sex determining region Y)-box 7	14		endoderm formation			ISO	Q9BT81 	J:164563 	
MGI:107543	Sox17	SRY (sex determining region Y)-box 17	1		endoderm development			IMP	MGI:2179440 	J:156731 	
MGI:107543	Sox17	SRY (sex determining region Y)-box 17	1		endoderm development	results in the development of embryo		IMP	MGI:3717121 	J:170416 	
MGI:107543	Sox17	SRY (sex determining region Y)-box 17	1		endoderm development			IMP		J:75946 	
MGI:107543	Sox17	SRY (sex determining region Y)-box 17	1		endoderm formation			ISO	Q9H6I2 	J:164563 	
MGI:107543	Sox17	SRY (sex determining region Y)-box 17	1		endodermal cell fate determination			IDA		J:159322 	
MGI:107543	Sox17	SRY (sex determining region Y)-box 17	1		endodermal cell fate specification	is a part of cardiogenic plate morphogenesis|is a part of embryonic heart tube morphogenesis|is a part of embryonic foregut morphogenesis|is a part of endodermal digestive tract morphogenesis		IMP		J:170493 	
MGI:1919725	Ssbp3	single-stranded DNA binding protein 3	4		mesendoderm development			IMP	MGI:2656539 MGI:5698524 	J:226614 	
MGI:98725	Tgfb1	transforming growth factor, beta 1	7		endoderm development			IDA		J:51778 	
MGI:2443265	Tnrc6c	trinucleotide repeat containing 6C	11		endoderm development			IMP	MGI:4124681 	J:182447 	
MGI:2443265	Tnrc6c	trinucleotide repeat containing 6C	11		endoderm formation			IMP	MGI:4124681 	J:182447 	
MGI:98940	Vtn	vitronectin	11		endodermal cell differentiation			ISO	P04004 	J:164563 	
MGI:107924	Wnt8a	wingless-type MMTV integration site family, member 8A	18		endoderm development			IMP		J:103272 	
MGI:107946	Zfp36l1	zinc finger protein 36, C3H type-like 1	12		mesendoderm development			IDA		J:233560 	

