#Supplementary Table S2. Response of gene expression 48hr after induction of transcription factors in mouse ES cells
#All gene expression changes here are significant (FDR<=0.05 and fold change>1.5).
#Logratio is for average of Cy3/Cy5 (or Dox- vs Dox+ )
#Fold Change is logratio converted (i.e., 10**(logratio))

Transcription factor	Gene_symbol	Logratio(log10)	Fold change
Jun	Sept5	0.3455	2.215
Klf4	Sept5	0.2887	1.944
Klf9	Sept5	-0.2722	0.5343
Mef2c	Sept5	0.4631	2.904
Nkx2-5	Sept5	0.481	3.026
Sox11	Sept5	0.3822	2.411
Sox9	Sept5	0.3285	2.13
Tbx5	Sept5	-0.1818	0.6579
Tcf3	Sept5	0.5557	3.595
Dmrt1	Sept6	0.183	1.524
Foxl2	Sept6	-0.2276	0.5921
Gadd45a	Sept6	-0.4478	0.3566
Gata2	Sept6	-0.2386	0.5772
Gata3	Sept6	-0.3123	0.4871
Irf2	Sept6	0.4046	2.538
Klf4	Sept6	-0.417	0.3828
Nkx2-5	Sept6	0.4366	2.732
Sox7	Sept6	-0.2294	0.5896
Ascl2	Sept8	0.2252	1.679
Cdx2	Sept8	0.2379	1.729
Dlx3	Sept8	0.4391	2.748
Dmrt1	Sept8	0.364	2.312
Eomes	Sept8	0.215	1.64
Esx1	Sept8	0.4913	3.099
Foxl2	Sept8	0.2066	1.609
Gata2	Sept8	0.3918	2.464
Gata3	Sept8	0.2307	1.7
Myod1	Sept8	0.2161	1.644
Nkx2-5	Sept8	0.5062	3.207
Sox9	Sept8	0.369	2.338
Tcf3	Sept8	0.5528	3.571
Dlx3	Sept9	0.2216	1.665
Esx1	Sept9	0.321	2.094
Foxa1	Sept9	-0.2523	0.5593
Foxc1	Sept9	-0.1999	0.6311
Foxg1	Sept9	0.2336	1.712
Gata3	Sept9	0.1789	1.509
Id1	Sept9	0.1837	1.526
Jun	Sept9	0.2128	1.632
Nkx2-5	Sept9	0.2334	1.711
Pou5f1	Sept9	-0.18	0.6606
Sox9	Sept9	0.3583	2.281
T	Sept9	0.1983	1.578
Tcf3	Sept9	0.3918	2.464
Elf1	Sept10	-0.3737	0.4229
Esx1	Sept10	0.2481	1.77
Foxa1	Sept10	0.3421	2.198
Gbx2	Sept10	0.221	1.663
Hoxa9	Sept10	-0.1807	0.6596
Klf3	Sept10	-0.3611	0.4354
Klf9	Sept10	-0.3119	0.4876
Msc	Sept10	-0.3725	0.4241
Nkx2-5	Sept10	0.2152	1.641
Nr2f2	Sept10	-0.2422	0.5725
Dmrt1	Sept11	0.3693	2.34
Gata2	Sept11	-0.3968	0.401
Gata3	Sept11	-0.3171	0.4818
Hnf4a	Sept11	0.201	1.588
Jun	Sept11	0.2003	1.585
Sfpi1	Sept11	0.2112	1.626
Sox2	Sept11	0.1994	1.582
Tbx5	Sept11	0.216	1.644
Tcf3	Sept11	0.3905	2.457
Tcfap2c	Sept11	0.2822	1.915
Cdx2	Sept12	1.0338	10.809
Dmrt1	Sept12	0.4743	2.98
Foxa1	Sept12	0.5848	3.844
Gata2	Sept12	0.5118	3.249
Gata3	Sept12	0.4941	3.119
Gbx2	Sept12	0.7276	5.34
Nanog	Sept12	0.5779	3.783
Ascl1	Sept14	0.242	1.745
Ascl2	Sept14	0.2056	1.605
Cdx2	Sept14	0.1921	1.556
Dlx3	Sept14	-0.1912	0.6438
Dmrt1	Sept14	0.2659	1.844
Elf1	Sept14	0.2346	1.716
Eomes	Sept14	0.1838	1.526
Esx1	Sept14	0.2716	1.868
Foxl2	Sept14	0.2391	1.734
Gata2	Sept14	0.272	1.87
Klf4	Sept14	-0.2356	0.5812
Msc	Sept14	0.2623	1.829
Nr5a2	Sept14	0.1938	1.562
Nrip1	Sept14	0.2269	1.686
Sfpi1	Sept14	0.2876	1.939
Tcf3	Sept14	0.2629	1.831
Cdx2	9630027E11	0.6038	4.016
Dlx3	9630027E11	0.504	3.191
Elf5	9630027E11	-0.2125	0.613
Eomes	9630027E11	0.3577	2.278
Esx1	9630027E11	0.2687	1.856
Foxg1	9630027E11	0.4693	2.946
Foxp3	9630027E11	0.2875	1.938
Gbx2	9630027E11	-0.3077	0.4923
Hoxa9	9630027E11	0.1979	1.577
Msc	9630027E11	-0.1855	0.6523
Myc	9630027E11	-0.3471	0.4496
Myod1	9630027E11	0.247	1.766
Nkx2-5	9630027E11	0.3493	2.235
Nrip1	9630027E11	0.2555	1.8
Otx1	9630027E11	0.1915	1.554
Otx2	9630027E11	0.204	1.599
Sfpi1	9630027E11	-0.2084	0.6188
Sox11	9630027E11	0.3509	2.243
Sox2	9630027E11	0.3078	2.031
Tbx5	9630027E11	0.3468	2.222
Tcf3	9630027E11	-0.3257	0.4723
Cdx2	0610005C13Rik	-0.6532	0.2222
Esx1	0610005C13Rik	-0.6053	0.2481
Myc	0610005C13Rik	-0.4881	0.325
Sox2	0610005C13Rik	-0.435	0.3672
Sox9	0610005C13Rik	-0.5118	0.3077
Tcf3	0610005C13Rik	-0.5429	0.2864
Sfpi1	0610006I08Rik	-0.1894	0.6465
Tcf3	0610006I08Rik	-0.1981	0.6337
Cdx2	0610007C21Rik	0.2705	1.864
Foxg1	0610007N19Rik	-0.2905	0.5122
Sox9	0610007N19Rik	0.3481	2.228
Gata2	0610007P08Rik	-0.2155	0.6088
Nkx2-5	0610008F07Rik	-0.2191	0.6038
Cdx2	0610009B14Rik	0.4666	2.928
Elf1	0610009B22Rik	-0.1783	0.6632
Sfpi1	0610009B22Rik	-0.1772	0.6649
Zscan4c	0610009B22Rik	-0.1868	0.6504
Cdx2	0610009D07Rik	-0.1766	0.6658
Tcf3	0610009D07Rik	-0.1978	0.6341
Ascl1	0610009L18Rik	-0.2364	0.5802
Dmrt1	0610009L18Rik	0.1883	1.542
Elf1	0610009L18Rik	-0.1987	0.6328
Esx1	0610009L18Rik	0.2594	1.817
Foxl2	0610009L18Rik	0.2417	1.744
Gbx2	0610009L18Rik	0.2412	1.742
Msc	0610009L18Rik	-0.2557	0.555
Nkx2-5	0610009L18Rik	0.2262	1.683
Nr5a2	0610009L18Rik	-0.1901	0.6455
Sfpi1	0610009L18Rik	-0.2241	0.5968
Sox9	0610009L18Rik	0.1869	1.537
Tcf3	0610009L18Rik	0.2453	1.759
Bcl6	0610010D20Rik	-0.1762	0.6664
Cdx2	0610010D20Rik	0.2821	1.914
Esx1	0610010D20Rik	0.2072	1.611
Klf4	0610010D20Rik	-0.267	0.5407
Sox9	0610010D20Rik	0.2127	1.631
Tcf3	0610010D20Rik	0.2486	1.772
Cdx2	0610010E21Rik	-0.2027	0.627
Gbx2	0610010F05Rik	-0.2147	0.6099
Sfpi1	0610010F05Rik	-0.2577	0.5524
Zscan4c	0610010F05Rik	-0.1827	0.6565
Dmrt1	0610010K14Rik	-0.1993	0.6319
Nkx2-5	0610010K14Rik	-0.2039	0.6253
Sox9	0610010K14Rik	-0.2144	0.6103
Tcf3	0610010K14Rik	-0.1862	0.6513
Cdx2	0610010O12Rik	0.6147	4.118
Dlx3	0610010O12Rik	0.1891	1.545
Dmrt1	0610010O12Rik	0.2988	1.989
Eomes	0610010O12Rik	0.1893	1.546
Esx1	0610010O12Rik	0.3387	2.181
Foxl2	0610010O12Rik	0.2834	1.92
Gata2	0610010O12Rik	0.3037	2.012
Gata3	0610010O12Rik	0.3502	2.239
Hnf4a	0610010O12Rik	0.289	1.945
Jun	0610010O12Rik	0.3347	2.161
Nkx2-5	0610010O12Rik	0.5405	3.471
Zic1	0610010O12Rik	-0.1772	0.6649
Cdx2	0610011F06Rik	0.2765	1.89
Esx1	0610011F06Rik	0.2374	1.727
Foxg1	0610011F06Rik	0.2413	1.743
Klf4	0610011F06Rik	0.2326	1.708
Klf9	0610011F06Rik	0.1765	1.501
Nr5a2	0610011F06Rik	0.1928	1.558
Cdx2	0610012G03Rik	-0.1963	0.6363
Mef2c	0610012G03Rik	-0.2072	0.6205
Dmrt1	0610012H03Rik	0.5353	3.43
Hnf4a	0610012H03Rik	0.4774	3.001
Klf4	0610012H03Rik	-0.469	0.3396
Myod1	0610012H03Rik	0.4755	2.988
Foxa1	0610025J13Rik	0.283	1.918
Esx1	0610030E20Rik	0.1922	1.556
Ascl1	0610031G08Rik	-0.3429	0.454
Ascl2	0610031G08Rik	-0.4025	0.3958
Cdx2	0610031G08Rik	-0.2486	0.5641
Dmrt1	0610031G08Rik	-0.2373	0.579
Gbx2	0610031G08Rik	0.2332	1.71
Myod1	0610031G08Rik	-0.2652	0.543
Nrip1	0610031G08Rik	-0.2442	0.5699
Sfpi1	0610031G08Rik	-0.3512	0.4454
Sox11	0610031G08Rik	-0.2402	0.5751
Tcf3	0610031G08Rik	-0.2506	0.5615
Tcf4	0610031G08Rik	-0.1863	0.6511
Zscan4c	0610031G08Rik	-0.3447	0.4521
Gata2	0610031J06Rik	0.185	1.531
Foxl2	0610033M10Rik	0.376	2.376
Dmrt1	0610037M15Rik	0.2257	1.681
Elf1	0610037M15Rik	0.3999	2.511
Esx1	0610037M15Rik	0.2833	1.919
Etv3	0610037M15Rik	-0.2008	0.6297
Gata2	0610037M15Rik	0.2616	1.826
Gbx2	0610037M15Rik	-0.2043	0.6247
Hnf4a	0610037M15Rik	0.2516	1.784
Irf2	0610037M15Rik	0.582	3.819
Msc	0610037M15Rik	0.2069	1.61
Sfpi1	0610037M15Rik	0.2925	1.961
Sox11	0610037M15Rik	0.2229	1.67
Sox2	0610037M15Rik	-0.2299	0.5889
Tbx5	0610037M15Rik	-0.1848	0.6534
Tcf3	0610037M15Rik	0.2851	1.927
Zic1	0610037M15Rik	0.2223	1.668
Dmrt1	0610039H22Rik	0.3489	2.233
Elf5	0610039H22Rik	-0.2866	0.5168
Esx1	0610039H22Rik	-0.4884	0.3247
Foxc1	0610039H22Rik	0.2873	1.937
Gata3	0610039H22Rik	-0.5336	0.2926
Sfpi1	0610039K10Rik	0.4555	2.854
Esx1	0610040B10Rik	0.2679	1.853
Msc	0610040B10Rik	-0.1904	0.645
Ascl2	0610040J01Rik	-0.2415	0.5734
Bcl6	0610040J01Rik	-0.2902	0.5126
Cbx8	0610040J01Rik	-0.1853	0.6526
Cdx2	0610040J01Rik	0.4128	2.587
Cdyl2	0610040J01Rik	-0.4095	0.3894
Dmrt1	0610040J01Rik	0.5236	3.338
Elf5	0610040J01Rik	0.1858	1.533
Eomes	0610040J01Rik	-0.2267	0.5933
Foxa1	0610040J01Rik	0.3324	2.149
Foxc1	0610040J01Rik	0.2421	1.746
Foxg1	0610040J01Rik	0.3784	2.39
Foxl2	0610040J01Rik	-0.1878	0.6489
Gbx2	0610040J01Rik	-0.2028	0.6269
Hesx1	0610040J01Rik	-0.2781	0.5271
Klf3	0610040J01Rik	0.2028	1.595
Nkx2-5	0610040J01Rik	-0.1805	0.6599
Nr2f1	0610040J01Rik	-0.198	0.6338
Nrip1	0610040J01Rik	0.2162	1.645
Otx2	0610040J01Rik	0.1773	1.504
Pou5f1	0610040J01Rik	0.3153	2.066
Sfpi1	0610040J01Rik	0.5946	3.931
Sox11	0610040J01Rik	0.3192	2.085
Sox9	0610040J01Rik	0.2912	1.955
Zic1	0610040J01Rik	0.1884	1.543
Cdx2	0710001D07Rik	-0.2499	0.5624
Dmrt1	0710001D07Rik	0.2174	1.649
Klf4	0710001D07Rik	-0.1887	0.6475
Cdx2	0910001A06Rik	0.2664	1.846
Esx1	0910001A06Rik	0.2404	1.739
Gata2	0910001A06Rik	-0.2659	0.5421
Gata3	0910001A06Rik	-0.2516	0.5602
Nkx2-5	0910001A06Rik	0.1845	1.529
Zscan4c	0910001A06Rik	-0.2267	0.5933
Ascl1	1100001H23Rik	0.2404	1.739
Atf3	1100001H23Rik	0.6882	4.877
Bcl6	1100001H23Rik	0.2311	1.702
Cdx2	1100001H23Rik	0.207	1.61
Dlx3	1100001H23Rik	0.2532	1.791
Elf1	1100001H23Rik	-0.1808	0.6594
Elf5	1100001H23Rik	0.2194	1.657
Eomes	1100001H23Rik	0.2501	1.778
Fosl2	1100001H23Rik	0.5862	3.856
Foxc1	1100001H23Rik	0.2212	1.664
Foxg1	1100001H23Rik	-0.5135	0.3065
Foxl2	1100001H23Rik	-0.2249	0.5957
Foxp3	1100001H23Rik	-0.269	0.5382
Gata2	1100001H23Rik	0.296	1.976
Gbx2	1100001H23Rik	-0.1807	0.6596
Hesx1	1100001H23Rik	-0.4962	0.319
Id1	1100001H23Rik	-0.2797	0.5251
Irf2	1100001H23Rik	-0.2084	0.6188
Jun	1100001H23Rik	0.1927	1.558
Klf4	1100001H23Rik	0.7312	5.385
Msc	1100001H23Rik	0.3079	2.031
Mycn	1100001H23Rik	0.1936	1.561
Nkx2-5	1100001H23Rik	0.5358	3.433
Nr2f1	1100001H23Rik	0.2359	1.721
Nr5a2	1100001H23Rik	-0.2246	0.5962
Otx2	1100001H23Rik	0.18	1.513
Smad7	1100001H23Rik	0.2715	1.868
Sox2	1100001H23Rik	-0.3295	0.4682
Sox9	1100001H23Rik	-0.4836	0.3283
Tcf4	1100001H23Rik	0.3243	2.11
Tcfcp2l1	1100001H23Rik	-0.1965	0.636
Cdx2	1110001A07Rik	0.1781	1.506
Esx1	1110001A16Rik	0.2043	1.6
Foxa1	1110001A16Rik	0.2066	1.609
Klf4	1110001A16Rik	0.2594	1.817
Sfpi1	1110001A16Rik	-0.1928	0.6415
Sox11	1110001A16Rik	-0.183	0.6561
Sfpi1	1110001J03Rik	-0.2053	0.6233
Zscan4c	1110001J03Rik	-0.2032	0.6263
Dmrt1	1110002B05Rik	0.3947	2.481
Klf4	1110002B05Rik	-0.1962	0.6365
Pou5f1	1110002B05Rik	0.2112	1.626
Foxa1	1110002H13Rik	-0.1944	0.6391
Ascl1	1110002L01Rik	-0.2081	0.6192
Ascl2	1110002L01Rik	-0.1978	0.6341
Cdx2	1110002L01Rik	-0.2974	0.5041
Dmrt1	1110002L01Rik	-0.3436	0.4533
Esx1	1110002L01Rik	-0.1842	0.6543
Foxa1	1110002L01Rik	-0.2353	0.5817
Foxl2	1110002L01Rik	-0.222	0.5997
Gata2	1110002L01Rik	-0.3796	0.4172
Gata3	1110002L01Rik	-0.3535	0.443
Klf4	1110002L01Rik	-0.2151	0.6093
Myod1	1110002L01Rik	-0.1991	0.6322
Tcf3	1110002L01Rik	-0.2603	0.5491
Cdx2	1110002N22Rik	-0.3148	0.4843
Dmrt1	1110002N22Rik	-0.2149	0.6096
Esx1	1110002N22Rik	-0.2199	0.6026
Foxg1	1110002N22Rik	-0.26	0.5495
Gata2	1110002N22Rik	-0.2546	0.5564
Gata3	1110002N22Rik	-0.216	0.6081
Klf4	1110002N22Rik	-0.2588	0.551
Nrip1	1110002N22Rik	-0.1916	0.6432
Sfpi1	1110002N22Rik	-0.208	0.6194
Sox9	1110002N22Rik	-0.2712	0.5355
Tbx5	1110002N22Rik	0.1811	1.517
Tcf3	1110002N22Rik	-0.3607	0.4358
Foxa1	1110002O04Rik	0.3476	2.226
Gata2	1110002O04Rik	0.5184	3.299
Gata3	1110002O04Rik	0.5195	3.307
Gbx2	1110002O04Rik	0.3887	2.447
Klf4	1110002O04Rik	0.4518	2.83
Nkx2-5	1110002O04Rik	0.4133	2.59
Sfpi1	1110002O04Rik	0.3992	2.507
Tcfap2c	1110002O04Rik	0.4407	2.758
Cdx2	1110003E01Rik	0.3692	2.339
Dmrt1	1110003E01Rik	0.5592	3.624
Elf5	1110003E01Rik	-0.196	0.6367
Foxa1	1110003E01Rik	0.2049	1.602
Foxl2	1110003E01Rik	0.2825	1.916
Gata2	1110003E01Rik	0.2886	1.943
Gata3	1110003E01Rik	0.2217	1.666
Klf4	1110003E01Rik	0.4114	2.578
Nr5a2	1110003E01Rik	0.1973	1.575
Sox9	1110003E01Rik	0.2396	1.736
Tcf3	1110003E01Rik	0.2358	1.721
Cdx2	1110003O08Rik	0.1852	1.531
Esx1	1110003O08Rik	0.2479	1.769
Foxg1	1110003O08Rik	0.2035	1.597
Gadd45a	1110003O08Rik	-0.1856	0.6522
Sox11	1110003O08Rik	0.2337	1.712
Sox2	1110003O08Rik	0.1761	1.5
Dmrt1	1110004E09Rik	-0.2838	0.5202
Sfpi1	1110005A03Rik	-0.2036	0.6257
Zic1	1110006G06Rik	-0.1795	0.6614
Cdx2	1110006G14Rik	0.6462	4.427
Foxg1	1110006G14Rik	0.3559	2.269
Dlx3	1110006O17Rik	0.2622	1.828
Dmrt1	1110006O17Rik	0.2308	1.701
Eomes	1110006O17Rik	0.1907	1.551
Esx1	1110006O17Rik	0.4409	2.759
Ets1	1110006O17Rik	0.2756	1.886
Foxc1	1110006O17Rik	0.2379	1.729
Foxg1	1110006O17Rik	0.1994	1.582
Gata2	1110006O17Rik	-0.2119	0.6139
Klf4	1110006O17Rik	0.3879	2.442
Mef2c	1110006O17Rik	0.1808	1.516
Nkx2-5	1110006O17Rik	0.3201	2.089
Nr2f1	1110006O17Rik	0.2317	1.704
Nrip1	1110006O17Rik	0.3521	2.249
Smad7	1110006O17Rik	0.2042	1.6
Tcfap2c	1110006O17Rik	-0.1858	0.6519
Pou5f1	1110006O24Rik	-0.1969	0.6354
Ascl1	1110007C09Rik	0.1778	1.505
Cdx2	1110007C09Rik	0.3301	2.138
Esx1	1110007C09Rik	0.2018	1.591
Foxa1	1110007C09Rik	0.2204	1.661
Foxc1	1110007C09Rik	0.1992	1.581
Foxg1	1110007C09Rik	0.4645	2.914
Hesx1	1110007C09Rik	-0.1808	0.6594
Hnf4a	1110007C09Rik	0.2046	1.601
Jun	1110007C09Rik	0.2542	1.795
Klf3	1110007C09Rik	0.2027	1.594
Nkx2-5	1110007C09Rik	0.2432	1.75
Nr2f2	1110007C09Rik	0.271	1.866
Nrip1	1110007C09Rik	0.291	1.954
Sox11	1110007C09Rik	-0.2392	0.5765
Tcf3	1110007C09Rik	0.3664	2.324
Ash2l	1110007J02Rik	-0.2176	0.6058
Bcl6	1110007J02Rik	-0.3034	0.4972
Dlx3	1110007J02Rik	0.1989	1.58
Dmrt1	1110007J02Rik	0.3546	2.262
Eomes	1110007J02Rik	0.4325	2.707
Foxc1	1110007J02Rik	0.2396	1.736
Foxg1	1110007J02Rik	-0.3732	0.4234
Hmga2	1110007J02Rik	-0.2095	0.6173
Hsf2bp	1110007J02Rik	-0.1866	0.6507
Sox11	1110007J02Rik	-0.4796	0.3314
Tgif1	1110007J02Rik	-0.2341	0.5833
Zfp57	1110007J02Rik	-0.2161	0.6079
Cdx2	1110007L15Rik	0.2337	1.712
Dmrt1	1110007L15Rik	0.1806	1.515
Cdx2	1110007M04Rik	-0.2024	0.6274
Dmrt1	1110007M04Rik	-0.2077	0.6198
Esx1	1110007M04Rik	-0.2574	0.5528
Foxa1	1110007M04Rik	-0.2145	0.6102
Gata2	1110007M04Rik	-0.1769	0.6654
Nkx2-5	1110007M04Rik	-0.1761	0.6666
Sox9	1110007M04Rik	-0.2374	0.5788
Tcf3	1110007M04Rik	-0.2565	0.5539
Cdx2	1110008J03Rik	-0.1932	0.6409
Esx1	1110008J03Rik	-0.178	0.6637
Gata2	1110008J03Rik	-0.2022	0.6277
Cdx2	1110008L16Rik	-0.2386	0.5772
Dmrt1	1110008L16Rik	-0.3515	0.4451
Esx1	1110008L16Rik	-0.1772	0.6649
Foxl2	1110008L16Rik	-0.2897	0.5132
Gata2	1110008L16Rik	-0.3236	0.4746
Gata3	1110008L16Rik	-0.2637	0.5448
Gbx2	1110008L16Rik	0.2344	1.715
Klf4	1110008L16Rik	-0.1899	0.6458
Nrip1	1110008L16Rik	-0.24	0.5754
Tcf3	1110008L16Rik	-0.3932	0.4043
Klf3	1110008P14Rik	-0.225	0.5956
Dmrt1	1110012D08Rik	0.2599	1.819
Gata2	1110012D08Rik	-0.2361	0.5806
Sox9	1110012D08Rik	0.311	2.046
Tcf3	1110012D08Rik	0.2057	1.605
Bcl6	1110012J17Rik	-0.3948	0.4029
Dmrt1	1110012J17Rik	-0.3602	0.4363
Foxl2	1110012J17Rik	-0.1969	0.6354
Sox9	1110012J17Rik	-0.2193	0.6035
Elf1	1110012M11Rik	0.1874	1.539
Ascl2	1110012N22Rik	0.7117	5.148
Cdx2	1110012N22Rik	0.4859	3.061
Esx1	1110012N22Rik	0.4881	3.076
Mef2c	1110012N22Rik	1.1998	15.841
Myod1	1110012N22Rik	1.5772	37.774
Cdx2	1110013L07Rik	0.2946	1.97
Dmrt1	1110013L07Rik	0.2124	1.63
Pou5f1	1110013L07Rik	0.1788	1.509
Sox2	1110013L07Rik	0.1896	1.547
Elf1	1110014J01Rik	0.1894	1.546
Ascl2	1110014K08Rik	0.2464	1.763
Esx1	1110014K08Rik	0.1974	1.575
Foxa1	1110014K08Rik	0.1835	1.525
Gata2	1110014K08Rik	0.3856	2.429
Gata3	1110014K08Rik	0.3689	2.338
Hnf4a	1110014K08Rik	0.3189	2.084
Nkx2-5	1110014K08Rik	0.3239	2.108
Sfpi1	1110014K08Rik	0.1854	1.532
Sox2	1110014K08Rik	0.219	1.655
T	1110014K08Rik	0.1834	1.525
Tbx5	1110014K08Rik	0.1942	1.563
Tgif1	1110014K08Rik	-0.1936	0.6403
Foxg1	1110014N23Rik	0.1942	1.563
Gata2	1110014N23Rik	0.205	1.603
Dmrt1	1110017D15Rik	0.3554	2.266
Esx1	1110017D15Rik	0.1889	1.544
Foxa1	1110017D15Rik	0.2093	1.619
Foxc1	1110017D15Rik	0.2346	1.716
Foxg1	1110017D15Rik	0.2986	1.988
Foxl2	1110017D15Rik	0.8555	7.169
Lhx2	1110017D15Rik	0.2077	1.613
Sox11	1110017D15Rik	0.3384	2.179
Gata2	1110017F19Rik	0.6326	4.291
Gata3	1110017F19Rik	0.6803	4.789
Cdx2	1110017I16Rik	-0.9886	0.1026
Dlx3	1110017I16Rik	0.2743	1.88
Elf1	1110017I16Rik	-0.2135	0.6116
Esx1	1110017I16Rik	-0.9713	0.1068
Ets1	1110017I16Rik	0.2147	1.639
Fosl2	1110017I16Rik	-0.2675	0.5401
Foxg1	1110017I16Rik	-0.6901	0.2041
Foxl2	1110017I16Rik	-0.5752	0.2659
Foxp3	1110017I16Rik	-0.3434	0.4535
Gbx2	1110017I16Rik	-0.3512	0.4454
Hnf4a	1110017I16Rik	0.6012	3.992
Hoxa2	1110017I16Rik	0.2208	1.662
Id1	1110017I16Rik	-0.333	0.4645
Jun	1110017I16Rik	-0.4421	0.3613
Klf4	1110017I16Rik	-0.862	0.1374
Lhx2	1110017I16Rik	0.2047	1.602
Msc	1110017I16Rik	-0.4247	0.376
Myod1	1110017I16Rik	-0.3701	0.4264
Nkx2-5	1110017I16Rik	-0.4504	0.3544
Nr2f1	1110017I16Rik	-0.6578	0.2198
Nr2f2	1110017I16Rik	0.4215	2.639
Otx2	1110017I16Rik	0.1805	1.515
